time,pristine,stale,unreachable,duplicate
2022-10-11,219,14,69,9
2022-10-12,212,21,75,9
2022-10-13,212,16,79,9
2022-10-14,206,21,82,9
2022-10-15,216,17,78,7
2022-10-16,209,16,82,11
2022-10-17,219,9,83,6
2022-10-18,200,17,87,10
2022-10-19,206,14,90,8
2022-10-20,196,20,98,5
2022-10-21,198,13,102,6
2022-10-22,210,20,86,3
2022-10-23,214,18,76,14
2022-10-24,228,20,61,8
2022-10-25,229,13,73,2
2022-10-26,226,12,69,12
2022-10-27,225,13,73,6
2022-10-28,212,9,84,9
2022-10-29,213,22,74,5
2022-10-30,216,20,83,1
2022-10-31,212,20,76,5
2022-11-01,179,20,74,7
2022-11-02,224,13,74,9
2022-11-03,220,13,75,8
2022-11-04,209,24,76,9
2022-11-05,203,18,91,8
2022-11-06,224,17,68,11
2022-11-07,229,13,71,5
2022-11-08,221,19,72,7
2022-11-09,222,15,73,7
2022-11-10,217,19,79,4
2022-11-11,228,14,70,5
2022-11-12,221,15,71,9
2022-11-13,217,23,79,2
2022-11-14,227,17,63,6
2022-11-15,206,18,85,10
2022-11-16,224,14,76,8
2022-11-17,221,19,78,9
2022-11-18,209,22,79,6
2022-11-19,222,15,74,11
2022-11-20,213,17,80,8
2022-11-21,210,21,85,5
2022-11-22,208,17,88,10
2022-11-23,209,21,85,5
2022-11-24,224,13,80,5
2022-11-25,211,17,84,7
2022-11-26,214,22,79,4
2022-11-27,225,14,72,5
2022-11-28,210,15,86,5
2022-11-29,210,21,80,6
2022-11-30,210,25,76,7
2022-12-01,203,19,86,10
2022-12-02,248,17,42,6
2022-12-03,220,19,71,9
2022-12-04,240,14,61,8
2022-12-05,236,19,50,14
2022-12-06,239,20,47,10
2022-12-07,230,26,49,13
2022-12-08,240,25,50,6
2022-12-09,222,31,57,7
2022-12-10,222,26,56,12
2022-12-11,221,31,53,13
2022-12-12,238,24,44,9
2022-12-13,228,19,58,12
2022-12-14,236,18,52,12
2022-12-15,224,21,51,19
2022-12-16,226,25,59,10
2022-12-17,216,26,65,11
2022-12-18,234,21,52,8
2022-12-19,216,29,60,12
2022-12-20,221,37,41,16
2022-12-21,233,27,50,9
2022-12-22,209,27,64,9
2022-12-23,216,19,73,12
2022-12-24,230,23,58,8
2022-12-25,220,20,62,17
2022-12-26,220,27,54,15
2022-12-27,210,31,61,16
2022-12-28,226,26,60,6
2022-12-29,226,18,67,8
2022-12-30,223,25,51,19
2022-12-31,237,19,51,10
2023-01-01,227,22,55,16
2023-01-02,236,19,47,10
2023-01-03,224,25,56,18
2023-01-04,229,28,54,7
2023-01-05,226,26,54,13
2023-01-06,220,26,57,11
2023-01-07,210,30,63,14
2023-01-08,234,15,58,14
2023-01-09,233,23,51,12
2023-01-10,217,32,51,16
2023-01-11,219,23,57,18
2023-01-12,234,24,57,4
2023-01-13,220,27,58,9
2023-01-14,211,24,70,14
2023-01-15,234,25,48,12
2023-01-16,233,31,53,11
2023-01-17,223,21,56,14
2023-01-18,225,27,51,15
2023-01-19,220,33,56,9
2023-01-20,226,29,58,7
2023-01-21,225,20,64,11
2023-01-22,224,27,62,9
2023-01-23,209,31,58,17
2023-01-24,230,18,54,13
2023-01-25,225,26,50,16
2023-01-26,228,27,47,13
2023-01-27,211,32,60,16
2023-01-28,222,21,62,14
2023-01-29,214,26,71,11
2023-01-30,223,20,66,8
2023-01-31,209,26,70,16
2023-02-01,225,29,53,8
2023-02-02,229,21,54,11
2023-02-03,216,31,55,15
2023-02-04,215,34,50,18
2023-02-05,223,33,50,12
2023-02-06,230,24,49,14
2023-02-07,214,28,67,8
2023-02-08,197,18,64,13
2023-02-09,245,11,53,9
2023-02-10,227,23,53,16
2023-02-11,216,21,62,16
2023-02-12,236,27,42,9
2023-02-13,230,23,46,16
2023-02-14,210,23,73,12
2023-02-15,222,30,51,12
2023-02-16,222,27,59,7
2023-02-17,227,21,59,12
2023-02-18,228,22,56,13
2023-02-19,235,26,39,13
2023-02-20,231,22,56,10
2023-02-21,230,25,54,9
2023-02-22,232,24,50,13
2023-02-23,228,27,50,16
2023-02-24,235,29,39,11
2023-02-25,216,24,60,18
2023-02-26,234,27,46,8
2023-02-27,233,31,46,5
2023-02-28,227,28,53,7
2023-03-01,235,23,52,8
2023-03-02,238,22,47,12
2023-03-03,218,33,54,15
2023-03-04,231,21,57,8
2023-03-05,234,25,44,13
2023-03-06,228,26,56,7
2023-03-07,234,28,48,8
2023-03-08,235,17,56,12
2023-03-09,246,18,44,8
2023-03-10,234,24,57,7
2023-03-11,231,28,46,13
2023-03-12,226,25,55,10
2023-03-13,244,18,43,12
2023-03-14,236,23,42,12
2023-03-15,203,28,48,15
2023-03-16,183,25,61,9
2023-03-17,201,19,53,8
2023-03-18,222,28,53,10
2023-03-19,197,25,52,6
2023-03-20,238,22,43,11
2023-03-21,228,25,58,5
2023-03-22,231,31,45,9
2023-03-23,202,21,50,6
2023-03-24,246,17,44,9
2023-03-25,227,27,53,11
2023-03-26,235,26,47,8
2023-03-27,233,27,45,10
2023-03-28,228,31,49,9
2023-03-29,238,22,48,6
2023-03-30,226,26,56,13
2023-03-31,231,26,55,7
2023-04-01,239,23,44,16
2023-04-02,243,20,52,7
2023-04-03,235,31,43,7
2023-04-04,237,30,37,11
2023-04-05,205,27,51,7
